strain	accession	clade	description	original_date	date	date_precision
MT294132.1	MT294132.1	G2c	Porcine epidemic diarrhea virus isolate LNBX-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT294133.1	MT294133.1	G2c	Porcine epidemic diarrhea virus isolate LNHD-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT294134.1	MT294134.1	G2c	Porcine epidemic diarrhea virus isolate NMTL-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT294135.1	MT294135.1	G2c	Porcine epidemic diarrhea virus isolate TJLT-2018 spike glycoprotein (S) gene, complete cds	2018	2018-07-01	year
MT303066.1	MT303066.1	G2c	Porcine epidemic diarrhea virus strain shxx1902, complete genome	Feb-2019	2019-02-15	month
MT338518.1	MT338518.1	G2c	Porcine epidemic diarrhea virus strain HNAY2016, complete genome	2016	2016-07-01	year
MT625963.1	MT625963.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZ/2015, complete genome	2015	2015-07-01	year
MT683905.1	MT683905.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCLS-2/2019 spike protein gene, complete cds	2019	2019-07-01	year
MT683906.1	MT683906.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCLS-3/2019 spike protein gene, complete cds	2019	2019-07-01	year
MT683907.1	MT683907.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCYA-1/2019 spike protein gene, complete cds	2019	2019-07-01	year
MT683908.1	MT683908.1	G2c	Porcine epidemic diarrhea virus isolate CH/SCYA-2/2019 spike protein gene, complete cds	2019	2019-07-01	year
MT787025.1	MT787025.1	G2c	Porcine epidemic diarrhea virus strain PEDV CH/SX/2016, complete genome	2016-12	2016-12-15	month
MT843278.1	MT843278.1	G2c	Porcine epidemic diarrhea virus, complete genome	Dec-2019	2019-12-15	month
MW143083.1	MW143083.1	G2c	Porcine epidemic diarrhea virus isolate JSS04, complete genome	May-2017	2017-05-15	month
MW143084.1	MW143084.1	G2c	Porcine epidemic diarrhea virus isolate JSS05, complete genome	Aug-2018	2018-08-15	month
MW143085.1	MW143085.1	G2c	Porcine epidemic diarrhea virus isolate JSS06, complete genome	Aug-2018	2018-08-15	month
MW143091.1	MW143091.1	G2c	Porcine epidemic diarrhea virus isolate JSS13, complete genome	Jan-2018	2018-01-15	month
MW143092.1	MW143092.1	G2c	Porcine epidemic diarrhea virus isolate JSS14, complete genome	Feb-2018	2018-02-15	month
MW143094.1	MW143094.1	G2c	Porcine epidemic diarrhea virus isolate JSS16, complete genome	Oct-2016	2016-10-15	month
MW145532.1	MW145532.1	G2c	Porcine epidemic diarrhea virus strain CH/SCDY-1/2020 spike protein (S) gene, complete cds	2020	2020-07-01	year
MW145534.1	MW145534.1	G2c	Porcine epidemic diarrhea virus strain CH/SCMS-2/2020 spike protein (S) gene, complete cds	2020	2020-07-01	year
MW145535.1	MW145535.1	G2c	Porcine epidemic diarrhea virus strain CH/SCNJ-1/2020 spike protein (S) gene, complete cds	2020	2020-07-01	year
MW413556.1	MW413556.1	G2c	Porcine epidemic diarrhea virus strain HB/HEBEU/2020, complete genome	Dec-2020	2020-12-15	month
MW452940.1	MW452940.1	G2c	Porcine epidemic diarrhea virus strain CH/SCDZ-1/2020 spike protein (S) gene, complete cds	2020	2020-07-01	year
MW478760.1	MW478760.1	G2c	Porcine epidemic diarrhea virus isolate GDsg01 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478761.1	MW478761.1	G2c	Porcine epidemic diarrhea virus isolate GDsg02 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478762.1	MW478762.1	G2c	Porcine epidemic diarrhea virus isolate GDsg03 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478763.1	MW478763.1	G2c	Porcine epidemic diarrhea virus isolate GDsg04 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478764.1	MW478764.1	G2c	Porcine epidemic diarrhea virus isolate GDsg05 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478765.1	MW478765.1	G2c	Porcine epidemic diarrhea virus isolate GDsg06 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478766.1	MW478766.1	G2c	Porcine epidemic diarrhea virus isolate GDsg07 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478767.1	MW478767.1	G2c	Porcine epidemic diarrhea virus isolate GDsg08 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW478769.1	MW478769.1	G2c	Porcine epidemic diarrhea virus isolate GDsg10 spike protein (S) gene, complete cds	2018	2018-07-01	year
MW826593.1	MW826593.1	G2c	Porcine epidemic diarrhea virus isolate FY/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MW826594.1	MW826594.1	G2c	Porcine epidemic diarrhea virus isolate HH/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MW826596.1	MW826596.1	G2c	Porcine epidemic diarrhea virus isolate TQ/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MW826598.1	MW826598.1	G2c	Porcine epidemic diarrhea virus isolate XT/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MW826599.1	MW826599.1	G2c	Porcine epidemic diarrhea virus isolate ZJC/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MW915419.1	MW915419.1	G2c	Porcine epidemic diarrhea virus isolate FH/2017 spike protein (S) gene, complete cds	2017	2017-07-01	year
MZ161001.1	MZ161001.1	G2c	Porcine epidemic diarrhea virus strain CH/GDHG/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161002.1	MZ161002.1	G2c	Porcine epidemic diarrhea virus strain CH/GDSG/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161003.1	MZ161003.1	G2c	Porcine epidemic diarrhea virus strain CH/SCYBZH/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161004.1	MZ161004.1	G2c	Porcine epidemic diarrhea virus strain CH/GXGG/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161005.1	MZ161005.1	G2c	Porcine epidemic diarrhea virus strain CH/JSHA/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161007.1	MZ161007.1	G2c	Porcine epidemic diarrhea virus strain CH/HBSY/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161008.1	MZ161008.1	G2c	Porcine epidemic diarrhea virus strain CH/GDMM/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161009.1	MZ161009.1	G2c	Porcine epidemic diarrhea virus strain CH/SCCD/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161010.1	MZ161010.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZGS/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161011.1	MZ161011.1	G2c	Porcine epidemic diarrhea virus strain CH/HNCD/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161012.1	MZ161012.1	G2c	Porcine epidemic diarrhea virus strain CH/SCMY/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161013.1	MZ161013.1	G2c	Porcine epidemic diarrhea virus strain CH/AHBB/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161015.1	MZ161015.1	G2c	Porcine epidemic diarrhea virus strain CH/SDNW/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161016.1	MZ161016.1	G2c	Porcine epidemic diarrhea virus strain CH/JXXG/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161017.1	MZ161017.1	G2c	Porcine epidemic diarrhea virus strain CH/SXXY/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161019.1	MZ161019.1	G2c	Porcine epidemic diarrhea virus strain CH/YNDL/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161020.1	MZ161020.1	G2c	Porcine epidemic diarrhea virus strain CH/SDNW-2/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161021.1	MZ161021.1	G2c	Porcine epidemic diarrhea virus strain CH/JXGZ/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161026.1	MZ161026.1	G2c	Porcine epidemic diarrhea virus strain CH/HBMZ/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161027.1	MZ161027.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLZ/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161028.1	MZ161028.1	G2c	Porcine epidemic diarrhea virus strain CH/HBHG/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161031.1	MZ161031.1	G2c	Porcine epidemic diarrhea virus strain CH/HBTS/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161038.1	MZ161038.1	G2c	Porcine epidemic diarrhea virus strain CH/JXHY/09/2020 spike protein (S) gene, complete cds	Sep-2020	2020-09-15	month
MZ161039.1	MZ161039.1	G2c	Porcine epidemic diarrhea virus strain CH/LNFS/09/2020 spike protein (S) gene, complete cds	Sep-2020	2020-09-15	month
MZ161040.1	MZ161040.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLA/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ161042.1	MZ161042.1	G2c	Porcine epidemic diarrhea virus strain CH/SDZH/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ161043.1	MZ161043.1	G2c	Porcine epidemic diarrhea virus strain CH/HBCZ/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ161044.1	MZ161044.1	G2c	Porcine epidemic diarrhea virus strain CH/AHMJ/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ161045.1	MZ161045.1	G2c	Porcine epidemic diarrhea virus strain CH/GDCY/06/2020 spike protein (S) gene, complete cds	Jun-2020	2020-06-15	month
MZ161048.1	MZ161048.1	G2c	Porcine epidemic diarrhea virus strain CH/LNPJ/05/2020 spike protein (S) gene, complete cds	May-2020	2020-05-15	month
MZ161049.1	MZ161049.1	G2c	Porcine epidemic diarrhea virus strain CH/SCPL/05/2020 spike protein (S) gene, complete cds	May-2020	2020-05-15	month
MZ161050.1	MZ161050.1	G2c	Porcine epidemic diarrhea virus strain CH/GXNN/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161051.1	MZ161051.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLB/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161052.1	MZ161052.1	G2c	Porcine epidemic diarrhea virus strain CH/JXJJ/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161053.1	MZ161053.1	G2c	Porcine epidemic diarrhea virus strain CH/GDCY/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161054.1	MZ161054.1	G2c	Porcine epidemic diarrhea virus strain CH/FJDH/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161055.1	MZ161055.1	G2c	Porcine epidemic diarrhea virus strain CH/JXGZ/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161056.1	MZ161056.1	G2c	Porcine epidemic diarrhea virus strain CH/HNCC/03/2020 spike protein (S) gene, complete cds	Mar-2020	2020-03-15	month
MZ161057.1	MZ161057.1	G2c	Porcine epidemic diarrhea virus strain CH/HBZL/03/2020 spike protein (S) gene, complete cds	Mar-2020	2020-03-15	month
MZ161058.1	MZ161058.1	G2c	Porcine epidemic diarrhea virus strain CH/SCJS/03/2020 spike protein (S) gene, complete cds	Mar-2020	2020-03-15	month
MZ161061.1	MZ161061.1	G2c	Porcine epidemic diarrhea virus strain CH/HBZJC/11/2020 spike protein (S) gene, complete cds	Nov-2020	2020-11-15	month
MZ161062.1	MZ161062.1	G2c	Porcine epidemic diarrhea virus strain CH/AHXC/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161063.1	MZ161063.1	G2c	Porcine epidemic diarrhea virus strain CH/GZZY/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161064.1	MZ161064.1	G2c	Porcine epidemic diarrhea virus strain CH/JXPY/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161065.1	MZ161065.1	G2c	Porcine epidemic diarrhea virus strain CH/HNLX/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161066.1	MZ161066.1	G2c	Porcine epidemic diarrhea virus strain CH/HBXY/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161068.1	MZ161068.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZ/01/2021 spike protein (S) gene, complete cds	Jan-2021	2021-01-15	month
MZ161071.1	MZ161071.1	G2c	Porcine epidemic diarrhea virus strain CH/HBHA/01/2021 spike protein (S) gene, complete cds	Jan-2021	2021-01-15	month
MZ161072.1	MZ161072.1	G2c	Porcine epidemic diarrhea virus strain CH/JSLYG/02/2021 spike protein (S) gene, complete cds	Feb-2021	2021-02-15	month
MZ161073.1	MZ161073.1	G2c	Porcine epidemic diarrhea virus strain CH/HBSY/02/2021 spike protein (S) gene, complete cds	Feb-2021	2021-02-15	month
MZ161075.1	MZ161075.1	G2c	Porcine epidemic diarrhea virus strain CH/GDYJ/03/2021 spike protein (S) gene, complete cds	Mar-2021	2021-03-15	month
MZ161077.1	MZ161077.1	G2c	Porcine epidemic diarrhea virus strain CH/SDLY/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161079.1	MZ161079.1	G2c	Porcine epidemic diarrhea virus strain CH/SCDY/05/2020 spike protein (S) gene, complete cds	May-2020	2020-05-15	month
MZ161082.1	MZ161082.1	G2c	Porcine epidemic diarrhea virus strain CH/JSHY/09/2020 spike protein (S) gene, complete cds	Sep-2020	2020-09-15	month
MZ161083.1	MZ161083.1	G2c	Porcine epidemic diarrhea virus strain CH/HBTS/09/2020 spike protein (S) gene, complete cds	Sep-2020	2020-09-15	month
MZ161084.1	MZ161084.1	G2c	Porcine epidemic diarrhea virus strain CH/JSXZLD/10/2020 spike protein (S) gene, complete cds	Oct-2020	2020-10-15	month
MZ161085.1	MZ161085.1	G2c	Porcine epidemic diarrhea virus strain CH/SDLQ/09/2020 spike protein (S) gene, complete cds	Sep-2020	2020-09-15	month
MZ161086.1	MZ161086.1	G2c	Porcine epidemic diarrhea virus strain CH/GXLB/05/2020 spike protein (S) gene, complete cds	May-2020	2020-05-15	month
MZ161087.1	MZ161087.1	G2c	Porcine epidemic diarrhea virus strain CH/NMGTL/04/2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
MZ161088.1	MZ161088.1	G2c	Porcine epidemic diarrhea virus strain CH/SCLZ/12/2020 spike protein (S) gene, complete cds	Dec-2020	2020-12-15	month
MZ161089.1	MZ161089.1	G2c	Porcine epidemic diarrhea virus strain CH/SDJN/07/2020 spike protein (S) gene, complete cds	Jul-2020	2020-07-15	month
MZ342899.1	MZ342899.1	G2c	Porcine epidemic diarrhea virus isolate PEDV HM, complete genome	2017	2017-07-01	year
MZ669834.1	MZ669834.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-1-2018 spike protein gene, complete cds	2018-12	2018-12-15	month
MZ669835.1	MZ669835.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-2-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669836.1	MZ669836.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-3-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669837.1	MZ669837.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-4-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669838.1	MZ669838.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-5-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669839.1	MZ669839.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-6-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669840.1	MZ669840.1	G2c	Porcine epidemic diarrhea virus strain CH-GXNN-7-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669841.1	MZ669841.1	G2c	Porcine epidemic diarrhea virus strain CH-GXLZ-1-2017 spike protein gene, partial cds	2017-12	2017-12-15	month
MZ669842.1	MZ669842.1	G2c	Porcine epidemic diarrhea virus strain CH-GXLZ-2-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669843.1	MZ669843.1	G2c	Porcine epidemic diarrhea virus strain CH-GXLZ-3-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669844.1	MZ669844.1	G2c	Porcine epidemic diarrhea virus strain CH-GXBH-1-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ669845.1	MZ669845.1	G2c	Porcine epidemic diarrhea virus strain CH-GXBH-2-2018 spike protein gene, partial cds	2018-12	2018-12-15	month
MZ977202.1	MZ977202.1	G2c	Porcine epidemic diarrhea virus strain CH/2018, complete genome	Oct-2018	2018-10-15	month
OK584017.1	OK584017.1	G2c	Porcine epidemic diarrhea virus isolate HN2021, complete genome	May-2021	2021-05-15	month
OK642747.1	OK642747.1	G2c	Porcine epidemic diarrhea virus isolate XJ1904-34 spike (S) gene, complete cds	Apr-2019	2019-04-15	month
OL347994.1	OL347994.1	G2c	Porcine epidemic diarrhea virus isolate CMMZH2110, complete genome	Oct-2021	2021-10-15	month
OL361788.1	OL361788.1	G2c	Porcine epidemic diarrhea virus strain JSXC, complete genome	Feb-2021	2021-02-15	month
OL446966.1	OL446966.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HNKF/2020, complete genome	2020	2020-07-01	year
OL446967.1	OL446967.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNPDS/2021, complete genome	2021	2021-07-01	year
OL762456.1	OL762456.1	G2c	Porcine epidemic diarrhea virus strain PEDV SD2020, complete genome	Sep-2020	2020-09-15	month
OL762457.1	OL762457.1	G2c	Porcine epidemic diarrhea virus strain PEDV HK2021, complete genome	Feb-2021	2021-02-15	month
OL762458.1	OL762458.1	G2c	Porcine epidemic diarrhea virus strain PEDV SDLY2020, complete genome	Oct-2020	2020-10-15	month
OL762459.1	OL762459.1	G2c	Porcine epidemic diarrhea virus strain PEDV SD2021, complete genome	Apr-2021	2021-04-15	month
OL762460.1	OL762460.1	G2c	Porcine epidemic diarrhea virus strain PEDV JX2020, complete genome	Dec-2020	2020-12-15	month
OL762461.1	OL762461.1	G2c	Porcine epidemic diarrhea virus strain PEDV TRS2021, complete genome	Jan-2021	2021-01-15	month
OL907257.1	OL907257.1	G2c	Porcine epidemic diarrhea virus strain PEDV-SXBJ-1 spike protein (S) gene, complete cds	2019	2019-07-01	year
OL907258.1	OL907258.1	G2c	Porcine epidemic diarrhea virus strain PEDV-SXBJ-2 spike protein (S) gene, complete cds	2019	2019-07-01	year
OL944723.1	OL944723.1	G2c	Porcine epidemic diarrhea virus strain SCGYSWUN02 spike protein (S) gene, complete cds	Jan-2021	2021-01-15	month
OM201219.1	OM201219.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/S007 spike protein gene, complete cds	2018	2018-07-01	year
OM201220.1	OM201220.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/S009 spike protein gene, complete cds	2018	2018-07-01	year
OM201221.1	OM201221.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/S001 spike protein gene, complete cds	2018	2018-07-01	year
OM393722.1	OM393722.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CH/XC/2020, complete genome	Sep-2020	2020-09-15	month
OM863585.1	OM863585.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCZY01_2020 spike protein (S) gene, complete cds	Apr-2020	2020-04-15	month
OM948904.1	OM948904.1	G2c	Porcine epidemic diarrhea virus isolate CH_GZ01_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948905.1	OM948905.1	G2c	Porcine epidemic diarrhea virus isolate CH_GZ02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948906.1	OM948906.1	G2c	Porcine epidemic diarrhea virus isolate CH_NM_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948907.1	OM948907.1	G2c	Porcine epidemic diarrhea virus isolate CH_GX_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948908.1	OM948908.1	G2c	Porcine epidemic diarrhea virus isolate CH_GXNN_2021 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Jan-2021	2021-01-15	month
OM948909.1	OM948909.1	G2c	Porcine epidemic diarrhea virus isolate CH_HN_2021 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Jan-2021	2021-01-15	month
OM948911.1	OM948911.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCPZ_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948912.1	OM948912.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCCZ01_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948913.1	OM948913.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCZY02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948914.1	OM948914.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCZY03_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948915.1	OM948915.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCYB01_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948916.1	OM948916.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCYB02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948917.1	OM948917.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCZY04_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948918.1	OM948918.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCZY05_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Dec-2020	2020-12-15	month
OM948919.1	OM948919.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCLS03_2021 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds	Mar-2021	2021-03-15	month
OM948923.1	OM948923.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCLS02_2021 spike protein (S) gene, complete cds	Apr-2021	2021-04-15	month
OM948924.1	OM948924.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCLS01_2021 spike protein (S) gene, complete cds	Apr-2021	2021-04-15	month
OM948926.1	OM948926.1	G2c	Porcine epidemic diarrhea virus isolate CH_SCLS04_2021 spike protein (S) gene, complete cds	Apr-2021	2021-04-15	month
OM948927.1	OM948927.1	G2c	Porcine epidemic diarrhea virus isolate CH_CQ_2021 spike protein (S) gene, complete cds	Sep-2021	2021-09-15	month
OM974565.1	OM974565.1	G2c	Porcine epidemic diarrhea virus strain CH/GX1/F-5/2020 spike protein gene, complete cds	Jun-2020	2020-06-15	month
OM974566.1	OM974566.1	G2c	Porcine epidemic diarrhea virus strain CH/GX1/S-1/2020 spike protein gene, complete cds	Jun-2020	2020-06-15	month
OM974567.1	OM974567.1	G2c	Porcine epidemic diarrhea virus strain CH/XF1/C-3/2020 spike protein gene, complete cds	Jan-2020	2020-01-15	month
OM974570.1	OM974570.1	G2c	Porcine epidemic diarrhea virus strain CH/XF1/C-4/2019 spike protein gene, complete cds	Nov-2019	2019-11-15	month
OM974572.1	OM974572.1	G2c	Porcine epidemic diarrhea virus strain CH/GX2/FS-1/2020 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974574.1	OM974574.1	G2c	Porcine epidemic diarrhea virus strain CH/GX2/FS-7/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974575.1	OM974575.1	G2c	Porcine epidemic diarrhea virus strain CH/GX2/FS-11/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974576.1	OM974576.1	G2c	Porcine epidemic diarrhea virus strain CH/GX2/FS-13/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974577.1	OM974577.1	G2c	Porcine epidemic diarrhea virus strain CH/GX2/FS-18/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974578.1	OM974578.1	G2c	Porcine epidemic diarrhea virus strain CH/MM1/FS-12/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974579.1	OM974579.1	G2c	Porcine epidemic diarrhea virus strain CH/MM1/FS-13/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
OM974580.1	OM974580.1	G2c	Porcine epidemic diarrhea virus strain CH/MM1/FS-14/2021 spike protein gene, complete cds	Mar-2021	2021-03-15	month
ON058991.1	ON058991.1	G2c	Porcine epidemic diarrhea virus strain SCMYSWUN03 spike protein (S), complete cds	Jan-2021	2021-01-15	month
ON058992.1	ON058992.1	G2c	Porcine epidemic diarrhea virus strain SCNCSWUN01 spike protein (S), complete cds	Jan-2021	2021-01-15	month
ON068583.1	ON068583.1	G2c	UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate JS02/2018, complete genome	2018	2018-07-01	year
ON248873.1	ON248873.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Guizhou/Sinder202109-2 spike protein gene, complete cds	Sep-2021	2021-09-15	month
ON248875.1	ON248875.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Shandong/Sinder202112-2 spike protein gene, complete cds	Dec-2021	2021-12-15	month
ON248876.1	ON248876.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Hainan/Sinder202112-3 spike protein gene, complete cds	Dec-2021	2021-12-15	month
ON248877.1	ON248877.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Hainan/Sinder202112-4 spike protein gene, complete cds	Dec-2021	2021-12-15	month
ON248878.1	ON248878.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Hebei/Sinder202201 spike protein gene, complete cds	Jan-2022	2022-01-15	month
ON248879.1	ON248879.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Sichuan/Sinder202202-1 spike protein gene, complete cds	Feb-2022	2022-02-15	month
ON248882.1	ON248882.1	G2c	Porcine epidemic diarrhea virus strain PEDV/CN/Fujian/Sinder202203 spike protein gene, complete cds	Mar-2022	2022-03-15	month
ON417000.1	ON417000.1	G2c	Porcine epidemic diarrhea virus isolate JS2019-1 spike protein gene, complete cds	Jan-2019	2019-01-15	month
