PP395586.1 Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
OQ718894.1 Porcine epidemic diarrhea virus isolate CH-HeN14-2022 spike protein (S) gene, complete cds
OQ718900.1 Porcine epidemic diarrhea virus isolate CH-HeN20-2022 spike protein (S) gene, complete cds
MZ161062.1 Porcine epidemic diarrhea virus strain CH/AHXC/12/2020 spike protein (S) gene, complete cds
OM948904.1 Porcine epidemic diarrhea virus isolate CH_GZ01_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OM948905.1 Porcine epidemic diarrhea virus isolate CH_GZ02_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MZ161010.1 Porcine epidemic diarrhea virus strain CH/JSXZGS/12/2020 spike protein (S) gene, complete cds
OQ504179.1 Porcine epidemic diarrhea virus strain PEDV-02/JS/2022 spike protein (S) gene, complete cds
MZ161011.1 Porcine epidemic diarrhea virus strain CH/HNCD/12/2020 spike protein (S) gene, complete cds
MZ161065.1 Porcine epidemic diarrhea virus strain CH/HNLX/12/2020 spike protein (S) gene, complete cds
OQ504178.1 Porcine epidemic diarrhea virus strain PEDV-01/JS/2022 spike protein (S) gene, complete cds
OQ122086.1 Porcine epidemic diarrhea virus isolate HBXN/2022 spike protein (S) gene, complete cds
MZ161005.1 Porcine epidemic diarrhea virus strain CH/JSHA/12/2020 spike protein (S) gene, complete cds
MW145535.1 Porcine epidemic diarrhea virus strain CH/SCNJ-1/2020 spike protein (S) gene, complete cds
PQ870875.1 Porcine epidemic diarrhea virus strain SC-JG spike protein gene, complete cds
PP373526.1 Porcine epidemic diarrhea virus strain LZ202401 spike protein (S) gene, complete cds
PP999774.1 Porcine epidemic diarrhea virus isolate LZ202401, complete genome
PP906227.1 Porcine epidemic diarrhea virus strain GD-ZQ spike protein gene, complete cds
PQ349478.1 Porcine epidemic diarrhea virus isolate SN-WN spike protein gene, complete cds
PV844362.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PV844363.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PX619217.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SHC/2025-03 genomic sequence
PX619216.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate SHC/2025-01 genomic sequence
PV641629.1 Porcine epidemic diarrhea virus isolate PEDV MY2402 spike protein (S) gene, partial cds
PV641630.1 Porcine epidemic diarrhea virus isolate PEDV GA2401 spike protein (S) gene, complete cds
PQ124001.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-HT S protein gene, complete cds
PV844364.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PV164724.1 Porcine epidemic diarrhea virus isolate PEDV ZJ23HZ0201 spike protein (S) gene, complete cds
PV536076.1 Porcine epidemic diarrhea virus isolate PEDV-AHLY25-2022, partial genome
PV536077.1 Porcine epidemic diarrhea virus isolate PEDV-AHLY7-2022, partial genome
PX482653.1 Porcine epidemic diarrhea virus isolate CH-SWM-NC, complete genome
PV641628.1 Porcine epidemic diarrhea virus isolate PEDV MY2404 spike protein (S) gene, partial cds
PV890865.1 Porcine epidemic diarrhea virus isolate HNHB-23 spike protein (S) gene, complete cds
PQ642131.1 Porcine epidemic diarrhea virus isolate GD1S spike protein (S) gene, complete cds
PX146708.1 Porcine epidemic diarrhea virus isolate GD1, complete genome
PV146392.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW31/2023 S protein (S) gene, partial cds
PV146393.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW32/2023 S protein (S) gene, partial cds
PV146394.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW33/2023 S protein (S) gene, partial cds
PV641627.1 Porcine epidemic diarrhea virus isolate PEDV ZG2401 spike protein (S) gene, partial cds
PV164731.1 Porcine epidemic diarrhea virus isolate PEDV HN24HN0401 spike protein (S) gene, complete cds
PX634159.1 Porcine epidemic diarrhea virus strain PEDV TZ 2025, complete genome
PV523969.1 Porcine epidemic diarrhea virus isolate AH06-11-CN_2024 spike protein (S) gene, complete cds
PV844376.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PV844374.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PV902815.1 Porcine epidemic diarrhea virus isolate PEDV-JX spike protein (S) gene, complete cds
PV935323.1 Porcine epidemic diarrhea virus isolate JX2307 spike protein (S) gene, complete cds
PX569374.1 Porcine epidemic diarrhea virus isolate GD-HY spike protein gene, complete cds
PV536098.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-JLCG12-2024, partial genome
PV614335.1 Porcine epidemic diarrhea virus isolate ZY2302 spike protein (S) gene, complete cds
PV164725.1 Porcine epidemic diarrhea virus isolate PEDV ZJ23HZ0401-01 spike protein (S) gene, complete cds
PV523989.1 Porcine epidemic diarrhea virus isolate JS02-10-CN_2024 spike protein (S) gene, complete cds
PV890870.1 Porcine epidemic diarrhea virus isolate HNZM-55 spike protein (S) gene, complete cds
PV536094.1 UNVERIFIED_ASMBLY: Porcine epidemic diarrhea virus isolate PEDV-HuBXL14-2023, partial genome
PV536092.1 Porcine epidemic diarrhea virus isolate PEDV-HuBXL10-2023, partial genome
PV536095.1 Porcine epidemic diarrhea virus isolate PEDV-HuBXL2-2023, partial genome
PV536096.1 Porcine epidemic diarrhea virus isolate PEDV-HuBXL4-2023, partial genome
PV844365.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PV235412.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate 2024-GXYL sequence
PV394113.1 Porcine epidemic diarrhea virus isolate 23GXNN-2 spike protein (S) gene, complete cds
PV394114.1 Porcine epidemic diarrhea virus isolate 24GXNN-1 spike protein (S) gene, complete cds
PX482650.1 Porcine epidemic diarrhea virus isolate CH-SWM-RN, complete genome
PV609791.1 Porcine epidemic diarrhea virus isolate PEDV BZ2401 spike protein (S) gene, partial cds
PV036767.1 Porcine epidemic diarrhea virus isolate HLJ6, complete genome
PV036764.1 Porcine epidemic diarrhea virus isolate HLJ10, complete genome
PV036780.1 Porcine epidemic diarrhea virus isolate HLJ11, complete genome
PX387542.1 Porcine epidemic diarrhea virus isolate SH2501, complete genome
PV523993.1 Porcine epidemic diarrhea virus isolate SD03-12-CN_2024 spike protein (S) gene, complete cds
PX470115.1 Porcine epidemic diarrhea virus isolate HeN2024 S protein (S) gene, complete cds
PP901941.1 Porcine epidemic diarrhea virus isolate PEDV/CN/NMGTL spike protein (S) gene, partial cds
PV523967.1 Porcine epidemic diarrhea virus isolate AH05-03-CN_2023 spike protein (S) gene, complete cds
PV890866.1 Porcine epidemic diarrhea virus isolate HNLS-28 spike protein (S) gene, complete cds
PV523998.1 Porcine epidemic diarrhea virus isolate SX01-11-CN_2023 spike protein (S) gene, complete cds
PP901936.1 Porcine epidemic diarrhea virus isolate PEDV/CN/JSYC spike protein (S) gene, partial cds
PV536102.1 Porcine epidemic diarrhea virus isolate PEDV-JSYM2-2023, partial genome
PV536103.1 Porcine epidemic diarrhea virus isolate PEDV-JSYM5-2023, partial genome
PV098398.1 Porcine epidemic diarrhea virus isolate PEDV-ZY-2023, complete genome
PQ124002.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-JC S protein gene, complete cds
PX482648.1 Porcine epidemic diarrhea virus isolate CH-SWM-AB, complete genome
PQ507869.1 Porcine epidemic diarrhea virus isolate SC/CD/2024 spike protein gene, complete cds
PV890868.1 Porcine epidemic diarrhea virus isolate HNZK-62 spike protein (S) gene, complete cds
PV844372.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PV844373.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
OP374023.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/Shandong/Sinder202207-1 spike gene, complete cds
PV890950.1 Porcine epidemic diarrhea virus isolate YN-XW 202505 spike protein gene, complete cds
PQ870877.1 Porcine epidemic diarrhea virus strain FJ-NP spike protein gene, complete cds
OQ122094.1 Porcine epidemic diarrhea virus isolate GDFS/2022 spike protein (S) gene, complete cds
PQ349480.1 Porcine epidemic diarrhea virus isolate YN-DL spike protein gene, complete cds
PQ123998.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-DK S protein gene, complete cds
PV036778.1 Porcine epidemic diarrhea virus isolate HLJ13, complete genome
PV036779.1 Porcine epidemic diarrhea virus isolate HLJ14, complete genome
PV614336.1 Porcine epidemic diarrhea virus isolate ZY2401 spike protein (S) gene, complete cds
PV641631.1 Porcine epidemic diarrhea virus isolate PEDV CD2405 spike protein (S) gene, partial cds
PP923949.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-WD-22062/China/2022/Yunnan spike protein-like gene, partial sequence
PV890860.1 Porcine epidemic diarrhea virus isolate HNZK-38 spike protein (S) gene, complete cds
PV890861.1 Porcine epidemic diarrhea virus isolate HNZK-39 spike protein (S) gene, complete cds
PV536107.1 Porcine epidemic diarrhea virus isolate PEDV-SDJG18-2023, partial genome
OR684452.1 UNVERIFIED: Porcine epidemic diarrhea virus strain SC/2023, complete genome
PV609797.1 Porcine epidemic diarrhea virus isolate PEDV GY2301 spike protein (S) gene, complete cds
OR085250.1 Porcine epidemic diarrhea virus isolate PEDV-HuN6-2023, complete genome
PX737630.1 Porcine epidemic diarrhea virus isolate PEDV/GX2025-01 spike glycoprotein gene, partial cds
PV464256.1 Porcine epidemic diarrhea virus isolate CH-HNZZ-2023, complete genome
PX229687.1 Porcine epidemic diarrhea virus isolate JS-XZFX202309 spike protein gene, complete cds
OR085251.1 Porcine epidemic diarrhea virus isolate PEDV-HuNLH1-2023, complete genome
OQ718904.1 Porcine epidemic diarrhea virus isolate CH-HeN24-2023 spike protein (S) gene, complete cds
OQ718893.1 Porcine epidemic diarrhea virus isolate CH-HeN12-2022 spike protein (S) gene, complete cds
OQ718905.1 Porcine epidemic diarrhea virus isolate CH-HeN25-2023 spike protein (S) gene, complete cds
OQ703966.1 Porcine epidemic diarrhea virus isolate CH-HeN-ZLH-2022, complete genome
OQ718910.1 Porcine epidemic diarrhea virus isolate CH-HeN31-2023 spike protein (S) gene, complete cds
ON960076.1 Porcine epidemic diarrhea virus strain CH/HNLYL/2021, complete genome
OQ718902.1 Porcine epidemic diarrhea virus isolate CH-HeN22-2022 spike protein (S) gene, complete cds
OQ718903.1 Porcine epidemic diarrhea virus isolate CH-HeN23-2022 spike protein (S) gene, complete cds
OQ718892.1 Porcine epidemic diarrhea virus isolate CH-HeN13-2021 spike protein (S) gene, complete cds
OQ718898.1 Porcine epidemic diarrhea virus isolate CH-HeN18-2022 spike protein (S) gene, complete cds
OQ718897.1 Porcine epidemic diarrhea virus isolate CH-HeN17-2022 spike protein (S) gene, complete cds
OQ718899.1 Porcine epidemic diarrhea virus isolate CH-HeN19-2022 spike protein (S) gene, complete cds
PQ284567.1 Porcine epidemic diarrhea virus isolate CH-HNF3-2023 spike protein (S) gene, complete cds
PV536070.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT5-2023, partial genome
PV536071.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT6-1-2023, partial genome
OR085261.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT2-2022, complete genome
PV536067.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT10-2023, partial genome
PV536075.1 Porcine epidemic diarrhea virus isolate PEDV-AHJN3-2023, partial genome
PV536078.1 Porcine epidemic diarrhea virus isolate PEDV-AHSG1-2023, partial genome
PV536068.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT11-1-2023, partial genome
PV536069.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT12-1-2023, partial genome
PV536072.1 Porcine epidemic diarrhea virus isolate PEDV-AHHT9-1-2023, partial genome
PV844366.1 Porcine epidemic diarrhea virus isolate G2c spike protein gene, complete cds
PX482655.1 Porcine epidemic diarrhea virus isolate CH-SWM-ZFC, complete genome
PP901937.1 Porcine epidemic diarrhea virus isolate PEDV/CN/JXNC/01 spike protein (S) gene, partial cds
PP901938.1 Porcine epidemic diarrhea virus isolate PEDV/CN/JXNC/02 spike protein (S) gene, partial cds
PQ119498.1 Porcine epidemic diarrhea virus isolate PEDV/QD/2024 spike protein (S) gene, complete cds
OR808017.1 Porcine epidemic diarrhea virus isolate AHbz2022 spike protein (S) gene, complete cds
PV890855.1 Porcine epidemic diarrhea virus isolate HNJZ-14 spike protein (S) gene, complete cds
PX737631.1 Porcine epidemic diarrhea virus isolate PEDV/GX2025-02 spike glycoprotein gene, partial cds
PQ124010.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-XN S protein gene, complete cds
PV146398.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW15/2024 S protein (S) gene, partial cds
PV146399.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW37/2024 S protein (S) gene, partial cds
PV146401.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate PEDV-CHN-SW37-2024, partial genome
ON988087.1 Porcine epidemic diarrhea virus isolate SDHY_YT spike protein (S) gene, partial cds
OP433730.1 Porcine epidemic diarrhea virus isolate S-GDDL spike protein (S) gene, complete cds
OP433737.1 Porcine epidemic diarrhea virus isolate S-GDQT spike protein (S) gene, complete cds
OR085253.1 Porcine epidemic diarrhea virus isolate PEDV-SCPM49-2022, complete genome
OR085254.1 Porcine epidemic diarrhea virus isolate PEDV-SCPM48-2022, complete genome
PP723330.1 Porcine epidemic diarrhea virus isolate CH/Sichuan-T/2022 spike protein (S) gene, complete cds
PP723331.1 Porcine epidemic diarrhea virus isolate CH/Sichuan-LSZ/2023 spike protein (S) gene, complete cds
PQ507870.1 Porcine epidemic diarrhea virus isolate SC/MY/2023 spike protein gene, complete cds
PV614337.1 Porcine epidemic diarrhea virus isolate MY2302 spike protein (S) gene, complete cds
OQ122097.1 Porcine epidemic diarrhea virus isolate SCMY/2022 spike protein (S) gene, complete cds
OR684451.1 Porcine epidemic diarrhea virus strain HN-2/2023, complete genome
OQ122114.1 Porcine epidemic diarrhea virus isolate HBYC/2021 spike protein (S) gene, complete cds
PQ316092.1 Porcine epidemic diarrhea virus isolate CH/ShXXY2-2023, complete genome
PV036768.1 Porcine epidemic diarrhea virus isolate SSX1, complete genome
MZ241108.1 Porcine epidemic diarrhea virus isolate SXSL, complete genome
PV409564.1 Porcine epidemic diarrhea virus isolate CH/SXJC spike protein gene, complete cds
PV409566.1 Porcine epidemic diarrhea virus isolate CH/SXTC spike protein gene, complete cds
PV409568.1 Porcine epidemic diarrhea virus isolate SXBJ/2022 spike protein gene, complete cds
PV409565.1 Porcine epidemic diarrhea virus isolate SXYC/2021 spike protein gene, complete cds
PV409567.1 Porcine epidemic diarrhea virus isolate CH/HNXC spike protein gene, complete cds
PP580800.1 Porcine epidemic diarrhea virus isolate SD-WF2023 spike protein (S) gene, complete cds
PV146391.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/SW30/2023 S protein (S) gene, partial cds
OQ122091.1 Porcine epidemic diarrhea virus isolate SXSZ-1/2022 spike protein (S) gene, complete cds
OQ122090.1 Porcine epidemic diarrhea virus isolate SXSZ-2/2022 spike protein (S) gene, complete cds
OR085257.1 Porcine epidemic diarrhea virus isolate PEDV-SXSH49-2022, complete genome
OR085258.1 Porcine epidemic diarrhea virus isolate PEDV-SXSH52-2022, complete genome
OR085255.1 Porcine epidemic diarrhea virus isolate PEDV-SXDHYJ1-2022, complete genome
PP901943.1 Porcine epidemic diarrhea virus isolate PEDV/CN/SXYC spike protein (S) gene, partial cds
OR085259.1 Porcine epidemic diarrhea virus isolate PEDV-SXSH20-2022, complete genome
OR085260.1 Porcine epidemic diarrhea virus isolate PEDV-SXSH10-2022, complete genome
OQ504182.1 Porcine epidemic diarrhea virus strain PEDV-05/JS/2022 spike protein (S) gene, complete cds
MZ570135.1 Porcine epidemic diarrhea virus isolate CH/HNXX-02/2020 spike protein (S) gene, complete cds
PV523984.1 Porcine epidemic diarrhea virus isolate JS01-01-CN_2023 spike protein (S) gene, complete cds
OP019341.1 Porcine epidemic diarrhea virus isolate PEDV/CH/HN/NK/2021 spike protein (S) gene, partial cds
ON248876.1 Porcine epidemic diarrhea virus strain PEDV/CN/Hainan/Sinder202112-3 spike protein gene, complete cds
OM974580.1 Porcine epidemic diarrhea virus strain CH/MM1/FS-14/2021 spike protein gene, complete cds
OM974578.1 Porcine epidemic diarrhea virus strain CH/MM1/FS-12/2021 spike protein gene, complete cds
OM974579.1 Porcine epidemic diarrhea virus strain CH/MM1/FS-13/2021 spike protein gene, complete cds
MZ161007.1 Porcine epidemic diarrhea virus strain CH/HBSY/12/2020 spike protein (S) gene, complete cds
MZ570137.1 Porcine epidemic diarrhea virus isolate CH/HNLH-01/2020 spike protein (S) gene, complete cds
OP019340.1 Porcine epidemic diarrhea virus isolate PEDV/CH/HN/NK1/2021 spike protein (S) gene, partial cds
ON248877.1 Porcine epidemic diarrhea virus strain PEDV/CN/Hainan/Sinder202112-4 spike protein gene, complete cds
OL762457.1 Porcine epidemic diarrhea virus strain PEDV HK2021, complete genome
OP374016.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/Hainan/Sinder202205-1 spike gene, complete cds
OM948909.1 Porcine epidemic diarrhea virus isolate CH_HN_2021 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MZ570146.1 Porcine epidemic diarrhea virus isolate CH/HNSQ-01/2020 spike protein (S) gene, complete cds
MZ570147.1 Porcine epidemic diarrhea virus isolate CH/HNXC-03/2020 spike protein (S) gene, complete cds
MZ161072.1 Porcine epidemic diarrhea virus strain CH/JSLYG/02/2021 spike protein (S) gene, complete cds
PV982377.1 Porcine epidemic diarrhea virus isolate GX223, complete genome
PV523972.1 Porcine epidemic diarrhea virus isolate GX01-01-CN_2023 spike protein (S) gene, complete cds
PV125746.1 Porcine epidemic diarrhea virus isolate 23GXNN-1, complete genome
PV935324.1 Porcine epidemic diarrhea virus isolate GX2311 spike protein (S) gene, complete cds
OR085277.1 Porcine epidemic diarrhea virus isolate PEDV-YNKX14-2022, complete genome
PP901952.1 Porcine epidemic diarrhea virus isolate PEDV/CN/YNYX spike protein (S) gene, partial cds
OR085278.1 Porcine epidemic diarrhea virus isolate PEDV-YNKX13-2022, complete genome
OR085279.1 Porcine epidemic diarrhea virus isolate PEDV-YNKX15-2022, complete genome
OP374017.1 Porcine epidemic diarrhea virus isolate PEDV/CHN/Chongqing/Sinder202205-2 spike gene, complete cds
PV609793.1 Porcine epidemic diarrhea virus isolate PEDV CD2302 spike protein (S) gene, complete cds
PP923950.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-YM-2206/China/2022/Yunnan spike protein-like gene, partial sequence
PP923951.1 UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-YM-22061/China/2022/Yunnan spike protein-like gene, partial sequence
PV164723.1 Porcine epidemic diarrhea virus isolate PEDV YN23YN0501-01 spike protein (S) gene, complete cds
OQ122110.1 Porcine epidemic diarrhea virus isolate GZQXN-2/2022 spike protein (S) gene, complete cds
OQ122112.1 Porcine epidemic diarrhea virus isolate GZQXN-1/2022 spike protein (S) gene, complete cds
OQ122087.1 Porcine epidemic diarrhea virus isolate HBXY/2022 spike protein (S) gene, complete cds
PQ124004.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-M6 S protein gene, complete cds
PV389918.1 Porcine epidemic diarrhea virus isolate GD-QY spike protein gene, complete cds
PV164732.1 Porcine epidemic diarrhea virus isolate PEDV SX24SX0701-04 spike protein (S) gene, complete cds
PP501550.1 Porcine epidemic diarrhea virus strain FJ-NP spike protein gene, complete cds
PQ870876.1 Porcine epidemic diarrhea virus strain YN-QJ spike protein gene, complete cds
OP019338.1 Porcine epidemic diarrhea virus isolate PEDV/CH/GZ/TN/2021 spike protein (S) gene, partial cds
PX705503.1 Porcine epidemic diarrhea virus isolate GX2023, complete genome
ON248873.1 Porcine epidemic diarrhea virus strain PEDV/CN/Guizhou/Sinder202109-2 spike protein gene, complete cds
PV890869.1 Porcine epidemic diarrhea virus isolate HNPDS-56 spike protein (S) gene, complete cds
PV250054.1 Porcine epidemic diarrhea virus isolate 23GXGL-1 spike protein (S) gene, complete cds
PV250055.1 Porcine epidemic diarrhea virus isolate 23GXGL-2 spike protein (S) gene, complete cds
PP580803.1 Porcine epidemic diarrhea virus isolate SD-QD2023 spike protein (S) gene, complete cds
PV837602.1 Porcine epidemic diarrhea virus strain swine/QD2306, complete genome
PV164726.1 Porcine epidemic diarrhea virus isolate PEDV ZJ23LS0201-02 spike protein (S) gene, complete cds
OR479080.1 Porcine epidemic diarrhea virus isolate CH/JX2301 spike protein (S) gene, complete cds
PQ014389.1 Porcine epidemic diarrhea virus strain CH-JX-2024, complete genome
PP395568.1 Porcine epidemic diarrhea virus strain SC2020LS spike protein (S) gene, complete cds
PP623116.1 Porcine epidemic diarrhea virus isolate SCABTC-GA, complete genome
ON058991.1 Porcine epidemic diarrhea virus strain SCMYSWUN03 spike protein (S), complete cds
OL944723.1 Porcine epidemic diarrhea virus strain SCGYSWUN02 spike protein (S) gene, complete cds
ON058992.1 Porcine epidemic diarrhea virus strain SCNCSWUN01 spike protein (S), complete cds
MZ161079.1 Porcine epidemic diarrhea virus strain CH/SCDY/05/2020 spike protein (S) gene, complete cds
OP019335.1 Porcine epidemic diarrhea virus isolate PEDV/CH/FJ/2022 spike protein (S) gene, partial cds
ON248882.1 Porcine epidemic diarrhea virus strain PEDV/CN/Fujian/Sinder202203 spike protein gene, complete cds
MZ161050.1 Porcine epidemic diarrhea virus strain CH/GXNN/04/2020 spike protein (S) gene, complete cds
OQ122095.1 Porcine epidemic diarrhea virus isolate HBYC-4/2022 spike protein (S) gene, complete cds
PV890867.1 Porcine epidemic diarrhea virus isolate HNBY-33 spike protein (S) gene, complete cds
PV890862.1 Porcine epidemic diarrhea virus isolate HNBY-31 spike protein (S) gene, complete cds
PV890863.1 Porcine epidemic diarrhea virus isolate HNBY-32 spike protein (S) gene, complete cds
PP395573.1 Porcine epidemic diarrhea virus strain SC2020NC spike protein (S) gene, complete cds
MT683905.1 Porcine epidemic diarrhea virus isolate CH/SCLS-2/2019 spike protein gene, complete cds
MT683906.1 Porcine epidemic diarrhea virus isolate CH/SCLS-3/2019 spike protein gene, complete cds
OM974574.1 Porcine epidemic diarrhea virus strain CH/GX2/FS-7/2021 spike protein gene, complete cds
OM974577.1 Porcine epidemic diarrhea virus strain CH/GX2/FS-18/2021 spike protein gene, complete cds
OM974576.1 Porcine epidemic diarrhea virus strain CH/GX2/FS-13/2021 spike protein gene, complete cds
OM974572.1 Porcine epidemic diarrhea virus strain CH/GX2/FS-1/2020 spike protein gene, complete cds
OM974575.1 Porcine epidemic diarrhea virus strain CH/GX2/FS-11/2021 spike protein gene, complete cds
PV523982.1 Porcine epidemic diarrhea virus isolate HuB01-01-CN_2021 spike protein (S) gene, complete cds
PV523983.1 Porcine epidemic diarrhea virus isolate HuB02-03-CN_2021 spike protein (S) gene, complete cds
OL841535.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/BD03 spike-like (S) gene, complete sequence
OL870434.1 Porcine epidemic diarrhea virus isolate CH/HB/CZ02 spike (S) gene, complete cds
OL841534.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/BD02 spike-like (S) gene, complete sequence
OL841538.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate CH/HB/XT01 spike-like (S) gene, complete sequence
PV523992.1 Porcine epidemic diarrhea virus isolate SD02-11-CN_2024 spike protein (S) gene, complete cds
OR085275.1 Porcine epidemic diarrhea virus isolate PEDV-GXXX1-2023, complete genome
OR085274.1 Porcine epidemic diarrhea virus isolate PEDV-GXXS1-2023, complete genome
PP537163.1 Porcine epidemic diarrhea virus isolate MLS-23 spike protein gene, complete cds
OR089086.1 Porcine epidemic diarrhea virus isolate LS-23 spike gene, complete cds
PP442050.1 UNVERIFIED: Porcine epidemic diarrhea virus isolate LS-23, complete genome
MZ161055.1 Porcine epidemic diarrhea virus strain CH/JXGZ/04/2020 spike protein (S) gene, complete cds
PQ124005.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-M7 S protein gene, complete cds
PV523976.1 Porcine epidemic diarrhea virus isolate GX02-09-CN_2021 spike protein (S) gene, complete cds
MZ161071.1 Porcine epidemic diarrhea virus strain CH/HBHA/01/2021 spike protein (S) gene, complete cds
PV523973.1 Porcine epidemic diarrhea virus isolate GX01-04-CN_2021 spike protein (S) gene, complete cds
MZ570139.1 Porcine epidemic diarrhea virus isolate CH/HNXC-01/2020 spike protein (S) gene, complete cds
OL762458.1 Porcine epidemic diarrhea virus strain PEDV SDLY2020, complete genome
MZ161008.1 Porcine epidemic diarrhea virus strain CH/GDMM/12/2020 spike protein (S) gene, complete cds
PQ124003.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-JL S protein gene, complete cds
PQ124011.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-ZY S protein gene, complete cds
MZ161075.1 Porcine epidemic diarrhea virus strain CH/GDYJ/03/2021 spike protein (S) gene, complete cds
OR567509.1 Porcine epidemic diarrhea virus isolate CHN/JX-202204 spike protein gene, complete cds
OR587951.1 Porcine epidemic diarrhea virus isolate CH/HLJGS/2023, complete genome
OQ269592.1 Porcine epidemic diarrhea virus isolate HNZMD2202-1405, complete genome
PV890854.1 Porcine epidemic diarrhea virus isolate HNNY-12 spike protein (S) gene, complete cds
PV890852.1 Porcine epidemic diarrhea virus isolate HNNY-10 spike protein (S) gene, complete cds
PV890853.1 Porcine epidemic diarrhea virus isolate HNNY-11 spike protein (S) gene, complete cds
PV614328.1 Porcine epidemic diarrhea virus isolate MY2301 spike protein (S) gene, complete cds
OP019350.1 Porcine epidemic diarrhea virus isolate PEDV/CH/SC/CY/2022 spike protein (S) gene, partial cds
ON248879.1 Porcine epidemic diarrhea virus strain PEDV/CN/Sichuan/Sinder202202-1 spike protein gene, complete cds
OM948911.1 Porcine epidemic diarrhea virus isolate CH_SCPZ_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
MZ161016.1 Porcine epidemic diarrhea virus strain CH/JXXG/11/2020 spike protein (S) gene, complete cds
MW452940.1 Porcine epidemic diarrhea virus strain CH/SCDZ-1/2020 spike protein (S) gene, complete cds
OQ504181.1 Porcine epidemic diarrhea virus strain PEDV-04/JS/2022 spike protein (S) gene, complete cds
MZ570141.1 Porcine epidemic diarrhea virus isolate CH/HNKF-02/2020 spike protein (S) gene, complete cds
OM974565.1 Porcine epidemic diarrhea virus strain CH/GX1/F-5/2020 spike protein gene, complete cds
OM974566.1 Porcine epidemic diarrhea virus strain CH/GX1/S-1/2020 spike protein gene, complete cds
PQ123997.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-CY S protein gene, complete cds
PQ124006.1 Porcine epidemic diarrhea virus strain SCABTC-PEDV-M8 S protein gene, complete cds
OM948917.1 Porcine epidemic diarrhea virus isolate CH_SCZY04_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
OM948918.1 Porcine epidemic diarrhea virus isolate CH_SCZY05_2020 spike protein (S), ORF3 (ORF3), envelope protein (E), membrane protein (M), and nucleocapsid protein (N) genes, complete cds
PV523978.1 Porcine epidemic diarrhea virus isolate GX03-09-CN_2021 spike protein (S) gene, complete cds
ON968723.1 Porcine epidemic diarrhea virus isolate CH/HLJJS/2022, complete genome
