strain	accession	clade	description
OQ269592.1	OQ269592.1	G2c	Porcine epidemic diarrhea virus isolate HNZMD2202-1405, complete genome
OQ288925.1	OQ288925.1	G2c	Porcine epidemic diarrhea virus isolate CZ01 spike protein (S) gene, complete cds
OQ349200.1	OQ349200.1	G2c	Porcine epidemic diarrhea virus isolate SD1(2021), complete genome
OQ349202.1	OQ349202.1	G2c	Porcine epidemic diarrhea virus isolate ZJ3(2021), complete genome
OQ349203.1	OQ349203.1	G2c	Porcine epidemic diarrhea virus isolate FJ1207 spike protein (S) gene, complete cds
OQ349209.1	OQ349209.1	G2c	Porcine epidemic diarrhea virus isolate FJ1607 spike protein (S) gene, complete cds
OQ349212.1	OQ349212.1	G2c	Porcine epidemic diarrhea virus isolate FJ1912 spike protein (S) gene, complete cds
OQ349214.1	OQ349214.1	G2c	Porcine epidemic diarrhea virus isolate FJ2002 spike protein (S) gene, complete cds
OQ349216.1	OQ349216.1	G2c	Porcine epidemic diarrhea virus isolate FJ2015 spike protein (S) gene, complete cds
OQ349218.1	OQ349218.1	G2c	Porcine epidemic diarrhea virus isolate JSdf10 spike protein (S) gene, complete cds
OQ349219.1	OQ349219.1	G2c	Porcine epidemic diarrhea virus isolate JSyj5 spike protein (S) gene, partial cds
OQ349220.1	OQ349220.1	G2c	Porcine epidemic diarrhea virus isolate JSyj8 spike protein (S) gene, complete cds
OQ349222.1	OQ349222.1	G2c	Porcine epidemic diarrhea virus isolate SD1 spike protein (S) gene, complete cds
OQ349223.1	OQ349223.1	G2c	Porcine epidemic diarrhea virus isolate SDyt12 spike protein (S) gene, complete cds
OQ349226.1	OQ349226.1	G2c	Porcine epidemic diarrhea virus isolate ZJ3 spike protein (S) gene, complete cds
OQ349228.1	OQ349228.1	G2c	Porcine epidemic diarrhea virus isolate CN/Jiangsu002/2022, complete genome
OQ412638.1	OQ412638.1	G2c	Porcine epidemic diarrhea virus strain ECQ1, complete genome
OQ412639.1	OQ412639.1	G2c	Porcine epidemic diarrhea virus strain EHuB2, complete genome
OQ504178.1	OQ504178.1	G2c	Porcine epidemic diarrhea virus strain PEDV-01/JS/2022 spike protein (S) gene, complete cds
OQ504179.1	OQ504179.1	G2c	Porcine epidemic diarrhea virus strain PEDV-02/JS/2022 spike protein (S) gene, complete cds
OQ504180.1	OQ504180.1	G2c	Porcine epidemic diarrhea virus strain PEDV-03/JS/2022 spike protein (S) gene, complete cds
OQ504181.1	OQ504181.1	G2c	Porcine epidemic diarrhea virus strain PEDV-04/JS/2022 spike protein (S) gene, complete cds
OQ504182.1	OQ504182.1	G2c	Porcine epidemic diarrhea virus strain PEDV-05/JS/2022 spike protein (S) gene, complete cds
OQ504183.1	OQ504183.1	G2c	Porcine epidemic diarrhea virus strain PEDV-06/JS/2022 spike protein (S) gene, complete cds
OQ504184.1	OQ504184.1	G2c	Porcine epidemic diarrhea virus strain PEDV-07/JS/2022 spike protein (S) gene, complete cds
OQ504185.1	OQ504185.1	G2c	Porcine epidemic diarrhea virus strain PEDV-08/JS/2022 spike protein (S) gene, complete cds
OQ657291.1	OQ657291.1	G2c	Porcine epidemic diarrhea virus strain HNZK1 spike protein (S) gene, complete cds
OQ657292.1	OQ657292.1	G2c	Porcine epidemic diarrhea virus strain HNZK2 spike protein (S) gene, complete cds
OQ657293.1	OQ657293.1	G2c	Porcine epidemic diarrhea virus strain HNZK3 spike protein (S) gene, complete cds
OQ657294.1	OQ657294.1	G2c	Porcine epidemic diarrhea virus strain HNZK5 spike protein (S) gene, complete cds
OQ657295.1	OQ657295.1	G2c	Porcine epidemic diarrhea virus strain HNLY spike protein (S) gene, complete cds
OQ657296.1	OQ657296.1	G2c	Porcine epidemic diarrhea virus strain HNXH spike protein (S) gene, complete cds
OQ657297.1	OQ657297.1	G2c	Porcine epidemic diarrhea virus strain HNYZ spike protein (S) gene, complete cds
OQ703966.1	OQ703966.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN-ZLH-2022, complete genome
OQ718883.1	OQ718883.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN01-2021 spike protein (S) gene, complete cds
OQ718884.1	OQ718884.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN03-2021 spike protein (S) gene, complete cds
OQ718885.1	OQ718885.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN04-2021 spike protein (S) gene, complete cds
OQ718886.1	OQ718886.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN05-2021 spike protein (S) gene, complete cds
OQ718887.1	OQ718887.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN07-2021 spike protein (S) gene, complete cds
OQ718888.1	OQ718888.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN08-2021 spike protein (S) gene, complete cds
OQ718889.1	OQ718889.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN09-2021 spike protein (S) gene, complete cds
OQ718890.1	OQ718890.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN10-2021 spike protein (S) gene, complete cds
OQ718891.1	OQ718891.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN11-2021 spike protein (S) gene, complete cds
OQ718892.1	OQ718892.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN13-2021 spike protein (S) gene, complete cds
OQ718893.1	OQ718893.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN12-2022 spike protein (S) gene, complete cds
OQ718894.1	OQ718894.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN14-2022 spike protein (S) gene, complete cds
OQ718895.1	OQ718895.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN15-2022 spike protein (S) gene, complete cds
OQ718896.1	OQ718896.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN16-2022 spike protein (S) gene, complete cds
OQ718897.1	OQ718897.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN17-2022 spike protein (S) gene, complete cds
OQ718898.1	OQ718898.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN18-2022 spike protein (S) gene, complete cds
OQ718899.1	OQ718899.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN19-2022 spike protein (S) gene, complete cds
OQ718900.1	OQ718900.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN20-2022 spike protein (S) gene, complete cds
OQ718901.1	OQ718901.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN21-2022 spike protein (S) gene, complete cds
OQ718902.1	OQ718902.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN22-2022 spike protein (S) gene, complete cds
OQ718903.1	OQ718903.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN23-2022 spike protein (S) gene, complete cds
OQ718904.1	OQ718904.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN24-2023 spike protein (S) gene, complete cds
OQ718905.1	OQ718905.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN25-2023 spike protein (S) gene, complete cds
OQ718906.1	OQ718906.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN26-2023 spike protein (S) gene, complete cds
OQ718907.1	OQ718907.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN28-2023 spike protein (S) gene, complete cds
OQ718908.1	OQ718908.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN29-2023 spike protein (S) gene, complete cds
OQ718909.1	OQ718909.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN30-2023 spike protein (S) gene, complete cds
OQ718910.1	OQ718910.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN31-2023 spike protein (S) gene, complete cds
OQ718911.1	OQ718911.1	G2c	Porcine epidemic diarrhea virus isolate CH-HeN32-2023 spike protein (S) gene, complete cds
OQ731918.1	OQ731918.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GX02/2022, complete genome
OQ915150.1	OQ915150.1	G2c	Porcine epidemic diarrhea virus strain ZJ2022, complete genome
OQ979198.1	OQ979198.1	G2c	Porcine epidemic diarrhea virus strain HNYZ, complete genome
OQ979199.1	OQ979199.1	G2c	Porcine epidemic diarrhea virus strain HNXH, complete genome
OQ979200.1	OQ979200.1	G2c	Porcine epidemic diarrhea virus strain HNZK1, complete genome
OR001815.1	OR001815.1	G2c	Porcine epidemic diarrhea virus isolate A2021014 spike protein (S) gene, complete cds
OR001816.1	OR001816.1	G2c	Porcine epidemic diarrhea virus isolate A2021015 spike protein (S) gene, complete cds
OR001818.1	OR001818.1	G2c	Porcine epidemic diarrhea virus isolate A2021016 spike protein (S) gene, complete cds
OR001819.1	OR001819.1	G2c	Porcine epidemic diarrhea virus isolate A2021018 spike protein (S) gene, complete cds
OR001820.1	OR001820.1	G2c	Porcine epidemic diarrhea virus isolate A22073102 spike protein (S) gene, complete cds
OR001821.1	OR001821.1	G2c	Porcine epidemic diarrhea virus isolate LY02 spike protein (S) gene, complete cds
OR001822.1	OR001822.1	G2c	Porcine epidemic diarrhea virus isolate LY03 spike protein (S) gene, complete cds
OR001823.1	OR001823.1	G2c	Porcine epidemic diarrhea virus isolate A2021017 spike protein (S) gene, complete cds
OR061129.1	OR061129.1	G2c	Porcine epidemic diarrhea virus isolate ZQ2022, complete genome
OR085228.1	OR085228.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHCZ10-2022, complete genome
OR085229.1	OR085229.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHCZ8-2022, complete genome
OR085230.1	OR085230.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHCZ1-2022, complete genome
OR085231.1	OR085231.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHCZ3-2022, complete genome
OR085232.1	OR085232.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-FJNL4-2023, complete genome
OR085233.1	OR085233.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-FJNL8-2023, complete genome
OR085234.1	OR085234.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-FJNL1-2023, complete genome
OR085245.1	OR085245.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHBZ16-2022, complete genome
OR085246.1	OR085246.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHBZ35-2022, complete genome
OR085247.1	OR085247.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHBZ1-2022, complete genome
OR085248.1	OR085248.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SDBR1-2022, complete genome
OR085249.1	OR085249.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GDYJ3-2022, complete genome
OR085250.1	OR085250.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-HuN6-2023, complete genome
OR085251.1	OR085251.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-HuNLH1-2023, complete genome
OR085253.1	OR085253.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SCPM49-2022, complete genome
OR085254.1	OR085254.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SCPM48-2022, complete genome
OR085255.1	OR085255.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SXDHYJ1-2022, complete genome
OR085257.1	OR085257.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SXSH49-2022, complete genome
OR085258.1	OR085258.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SXSH52-2022, complete genome
OR085259.1	OR085259.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SXSH20-2022, complete genome
OR085260.1	OR085260.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SXSH10-2022, complete genome
OR085261.1	OR085261.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHHT2-2022, complete genome
OR085267.1	OR085267.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-FJZZ3-2022, complete genome
OR085268.1	OR085268.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-FJZZ1-2022, complete genome
OR085269.1	OR085269.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GDJM3-2022, complete genome
OR085270.1	OR085270.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GDYJ5-2022, complete genome
OR085271.1	OR085271.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-HeNNX9-2022, complete genome
OR085272.1	OR085272.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GDHB1-2023, complete genome
OR085273.1	OR085273.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GDHB2-2023, complete genome
OR085274.1	OR085274.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GXXS1-2023, complete genome
OR085275.1	OR085275.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-GXXX1-2023, complete genome
OR085277.1	OR085277.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-YNKX14-2022, complete genome
OR085278.1	OR085278.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-YNKX13-2022, complete genome
OR085279.1	OR085279.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-YNKX15-2022, complete genome
OR085286.1	OR085286.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJJY14-2023, complete genome
OR085287.1	OR085287.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJJY6-2023, complete genome
OR085288.1	OR085288.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJJY5-2023, complete genome
OR085289.1	OR085289.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJJY7-2023, complete genome
OR085290.1	OR085290.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJJY17-2023, complete genome
OR085291.1	OR085291.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJTK1-2022, complete genome
OR085292.1	OR085292.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJTK3-2022, complete genome
OR085293.1	OR085293.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJWL1-2022, complete genome
OR085294.1	OR085294.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-XJWL2-2022, complete genome
OR085296.1	OR085296.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-YNPJ5-2022, complete genome
OR085297.1	OR085297.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-YNPJ1-2022, complete genome
OR085312.1	OR085312.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-JLYH1-2023, complete genome
OR089086.1	OR089086.1	G2c	Porcine epidemic diarrhea virus isolate LS-23 spike gene, complete cds
OR123893.1	OR123893.1	G2c	Porcine epidemic diarrhea virus strain HB2022, complete genome
OR195026.1	OR195026.1	G2c	Porcine epidemic diarrhea virus strain HB2022-1 spike protein (S) gene, complete cds
OR195027.1	OR195027.1	G2c	Porcine epidemic diarrhea virus strain HB2022-2 spike protein (S) gene, complete cds
OR195028.1	OR195028.1	G2c	Porcine epidemic diarrhea virus strain HB2022-3 spike protein (S) gene, complete cds
OR195030.1	OR195030.1	G2c	Porcine epidemic diarrhea virus strain HB2022-5 spike protein (S) gene, complete cds
OR195031.1	OR195031.1	G2c	Porcine epidemic diarrhea virus strain HB2022-6 spike protein (S) gene, complete cds
OR195032.1	OR195032.1	G2c	Porcine epidemic diarrhea virus strain HB2022-7 spike protein (S) gene, complete cds
OR195033.1	OR195033.1	G2c	Porcine epidemic diarrhea virus strain HB2022-8 spike protein (S) gene, complete cds
OR195036.1	OR195036.1	G2c	Porcine epidemic diarrhea virus strain HB2022-11 spike protein (S) gene, complete cds
OR195038.1	OR195038.1	G2c	Porcine epidemic diarrhea virus strain HB2022-13 spike protein (S) gene, complete cds
OR234022.1	OR234022.1	G2c	Porcine epidemic diarrhea virus isolate SXXY, complete genome
OR240110.1	OR240110.1	G2c	Porcine epidemic diarrhea virus isolate CHN/TZ2023 spike protein (S) gene, complete cds
OR418363.1	OR418363.1	G2c	Porcine epidemic diarrhea virus strain FS202201, complete genome
OR418364.1	OR418364.1	G2c	Porcine epidemic diarrhea virus strain JY202201, complete genome
OR472492.1	OR472492.1	G2c	Porcine epidemic diarrhea virus isolate SXXY-1 spike protein gene, complete cds
OR479080.1	OR479080.1	G2c	Porcine epidemic diarrhea virus isolate CH/JX2301 spike protein (S) gene, complete cds
OR501721.1	OR501721.1	G2c	Porcine epidemic diarrhea virus strain FJS1-3 spike protein (S) gene, complete cds
OR501722.1	OR501722.1	G2c	Porcine epidemic diarrhea virus strain FJS1-5 spike protein (S) gene, complete cds
OR501723.1	OR501723.1	G2c	Porcine epidemic diarrhea virus strain FJS1-7 spike protein (S) gene, complete cds
OR526953.1	OR526953.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-LN-P15 spike protein gene, complete cds
OR567503.1	OR567503.1	G2c	Porcine epidemic diarrhea virus isolate CHN/HuB-202201 spike protein gene, complete cds
OR567504.1	OR567504.1	G2c	Porcine epidemic diarrhea virus isolate CHN/HuB-202202 spike protein gene, complete cds
OR567505.1	OR567505.1	G2c	Porcine epidemic diarrhea virus isolate CHN/HuN-202201 spike protein gene, complete cds
OR567506.1	OR567506.1	G2c	Porcine epidemic diarrhea virus isolate CHN/HuN-202202 spike protein gene, complete cds
OR567507.1	OR567507.1	G2c	Porcine epidemic diarrhea virus isolate CHN/JX-202202 spike protein gene, complete cds
OR567508.1	OR567508.1	G2c	Porcine epidemic diarrhea virus isolate CHN/JX-202203 spike protein gene, complete cds
OR567509.1	OR567509.1	G2c	Porcine epidemic diarrhea virus isolate CHN/JX-202204 spike protein gene, complete cds
OR576823.1	OR576823.1	G2c	Porcine epidemic diarrhea virus isolate CH/GD442/2022 spike protein (S) gene, complete cds
OR576824.1	OR576824.1	G2c	Porcine epidemic diarrhea virus isolate CH/GD443/2022 spike protein (S) gene, complete cds
OR576825.1	OR576825.1	G2c	Porcine epidemic diarrhea virus isolate CH/GD444/2022 spike protein (S) gene, complete cds
OR576826.1	OR576826.1	G2c	Porcine epidemic diarrhea virus isolate CH/GD445/2022 spike protein (S) gene, complete cds
OR587951.1	OR587951.1	G2c	Porcine epidemic diarrhea virus isolate CH/HLJGS/2023, complete genome
OR601542.1	OR601542.1	G2c	Porcine epidemic diarrhea virus isolate GS/YD17/2022, complete genome
OR601543.1	OR601543.1	G2c	Porcine epidemic diarrhea virus isolate GS/YD37/2022, complete genome
OR684450.1	OR684450.1	G2c	Porcine epidemic diarrhea virus strain HN-1/2023, complete genome
OR684451.1	OR684451.1	G2c	Porcine epidemic diarrhea virus strain HN-2/2023, complete genome
OR684452.1	OR684452.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain SC/2023, complete genome
OR734225.1	OR734225.1	G2c	Porcine epidemic diarrhea virus isolate DY2020, complete genome
OR804100.1	OR804100.1	G2c	Porcine epidemic diarrhea virus strain CH/HNNY/2022 spike protein gene, complete cds
OR808014.1	OR808014.1	G2c	Porcine epidemic diarrhea virus isolate JSxz2021 spike protein (S) gene, complete cds
OR808015.1	OR808015.1	G2c	Porcine epidemic diarrhea virus isolate JSxz2023 spike protein (S) gene, complete cds
OR808016.1	OR808016.1	G2c	Porcine epidemic diarrhea virus isolate JSyc2021 spike protein (S) gene, complete cds
OR808017.1	OR808017.1	G2c	Porcine epidemic diarrhea virus isolate AHbz2022 spike protein (S) gene, complete cds
OR808020.1	OR808020.1	G2c	Porcine epidemic diarrhea virus isolate AHfy2023 spike protein (S) gene, complete cds
OR992088.1	OR992088.1	G2c	Porcine epidemic diarrhea virus isolate CH/FST-H/2017 spike protein (S) gene, complete cds
PP003006.1	PP003006.1	G2c	Porcine epidemic diarrhea virus isolate SX2023 spike protein (S) gene, complete cds
PP083729.1	PP083729.1	G2c	Porcine epidemic diarrhea virus isolate PED/swine/JS/SJ-2022 spike protein (S) gene, complete cds
PP198349.1	PP198349.1	G2c	Porcine epidemic diarrhea virus strain CHN/JX-202201, complete genome
PP373526.1	PP373526.1	G2c	Porcine epidemic diarrhea virus strain LZ202401 spike protein (S) gene, complete cds
PP395568.1	PP395568.1	G2c	Porcine epidemic diarrhea virus strain SC2020LS spike protein (S) gene, complete cds
PP395573.1	PP395573.1	G2c	Porcine epidemic diarrhea virus strain SC2020NC spike protein (S) gene, complete cds
PP395574.1	PP395574.1	G2c	Porcine epidemic diarrhea virus strain SC2020CD spike protein (S) gene, complete cds
PP395575.1	PP395575.1	G2c	Porcine epidemic diarrhea virus strain SC2020GY spike protein (S) gene, complete cds
PP395577.1	PP395577.1	G2c	Porcine epidemic diarrhea virus strain SC2021BZ spike protein (S) gene, complete cds
PP395579.1	PP395579.1	G2c	Porcine epidemic diarrhea virus strain SC2021ZG spike protein (S) gene, complete cds
PP395580.1	PP395580.1	G2c	Porcine epidemic diarrhea virus strain SC2021GA spike protein (S) gene, complete cds
PP395581.1	PP395581.1	G2c	Porcine epidemic diarrhea virus strain SC2021YA spike protein (S) gene, complete cds
PP395583.1	PP395583.1	G2c	Porcine epidemic diarrhea virus strain SC2022LS spike protein (S) gene, complete cds
PP395586.1	PP395586.1	G2c	Porcine epidemic diarrhea virus strain SC2022MS spike protein (S) gene, complete cds
PP395587.1	PP395587.1	G2c	Porcine epidemic diarrhea virus strain SC2022ZG spike protein (S) gene, complete cds
PP395589.1	PP395589.1	G2c	Porcine epidemic diarrhea virus strain SC2022CD spike protein (S) gene, complete cds
PP395590.1	PP395590.1	G2c	Porcine epidemic diarrhea virus strain SC2022NC spike protein (S) gene, complete cds
PP395591.1	PP395591.1	G2c	Porcine epidemic diarrhea virus strain SC2022GY spike protein (S) gene, complete cds
PP395592.1	PP395592.1	G2c	Porcine epidemic diarrhea virus strain SC2022DZ spike protein (S) gene, complete cds
PP395593.1	PP395593.1	G2c	Porcine epidemic diarrhea virus strain SC2022GZ spike protein (S) gene, complete cds
PP442050.1	PP442050.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate LS-23, complete genome
PP461398.1	PP461398.1	G2c	Porcine epidemic diarrhea virus isolate JMS S protein gene, complete cds
PP472642.1	PP472642.1	G2c	Porcine epidemic diarrhea virus isolate JSYC/2021, complete genome
PP472643.1	PP472643.1	G2c	Porcine epidemic diarrhea virus isolate HNNY/2022, complete genome
PP472644.1	PP472644.1	G2c	Porcine epidemic diarrhea virus isolate GXGL/2022, complete genome
PP472646.1	PP472646.1	G2c	Porcine epidemic diarrhea virus isolate ZJWZ/2021, complete genome
PP501550.1	PP501550.1	G2c	Porcine epidemic diarrhea virus strain FJ-NP spike protein gene, complete cds
PP537163.1	PP537163.1	G2c	Porcine epidemic diarrhea virus isolate MLS-23 spike protein gene, complete cds
PP554573.1	PP554573.1	G2c	Porcine epidemic diarrhea virus isolate GS/2020/04 S protein gene, complete cds
PP580800.1	PP580800.1	G2c	Porcine epidemic diarrhea virus isolate SD-WF2023 spike protein (S) gene, complete cds
PP580802.1	PP580802.1	G2c	Porcine epidemic diarrhea virus isolate JS-NT2023 spike protein (S) gene, complete cds
PP580803.1	PP580803.1	G2c	Porcine epidemic diarrhea virus isolate SD-QD2023 spike protein (S) gene, complete cds
PP580810.1	PP580810.1	G2c	Porcine epidemic diarrhea virus isolate HN-ZZ2022 spike protein (S) gene, complete cds
PP580812.1	PP580812.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-1 spike protein (S) gene, complete cds
PP580814.1	PP580814.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-11 spike protein (S) gene, complete cds
PP580815.1	PP580815.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-12 spike protein (S) gene, complete cds
PP580816.1	PP580816.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-13 spike protein (S) gene, complete cds
PP580817.1	PP580817.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-14 spike protein (S) gene, complete cds
PP580818.1	PP580818.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-15 spike protein (S) gene, complete cds
PP580819.1	PP580819.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-2 spike protein (S) gene, complete cds
PP580820.1	PP580820.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-3 spike protein (S) gene, complete cds
PP580821.1	PP580821.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-4 spike protein (S) gene, complete cds
PP580822.1	PP580822.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-5 spike protein (S) gene, complete cds
PP580823.1	PP580823.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-6 spike protein (S) gene, complete cds
PP580824.1	PP580824.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-7 spike protein (S) gene, complete cds
PP580825.1	PP580825.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-8 spike protein (S) gene, complete cds
PP580826.1	PP580826.1	G2c	Porcine epidemic diarrhea virus isolate GD-GZ2020-9 spike protein (S) gene, complete cds
PP580827.1	PP580827.1	G2c	Porcine epidemic diarrhea virus isolate HN-ZZ2020 spike protein (S) gene, complete cds
PP580828.1	PP580828.1	G2c	Porcine epidemic diarrhea virus isolate XJ2020 spike protein (S) gene, complete cds
PP580829.1	PP580829.1	G2c	Porcine epidemic diarrhea virus isolate HN-ZZ2021 spike protein (S) gene, complete cds
PP595924.1	PP595924.1	G2c	Porcine epidemic diarrhea virus strain XJ-KT-1 spike protein (S) gene, complete cds
PP623116.1	PP623116.1	G2c	Porcine epidemic diarrhea virus isolate SCABTC-GA, complete genome
PP690527.1	PP690527.1	G2c	Porcine epidemic diarrhea virus isolate SCCD-P05, complete genome
PP723330.1	PP723330.1	G2c	Porcine epidemic diarrhea virus isolate CH/Sichuan-T/2022 spike protein (S) gene, complete cds
PP723331.1	PP723331.1	G2c	Porcine epidemic diarrhea virus isolate CH/Sichuan-LSZ/2023 spike protein (S) gene, complete cds
PP842666.1	PP842666.1	G2c	Porcine epidemic diarrhea virus isolate GX2021-20 spike glycoprotein gene, complete cds
PP901932.1	PP901932.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/FJQZ spike protein (S) gene, partial cds
PP901933.1	PP901933.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/GSQY spike protein (S) gene, partial cds
PP901934.1	PP901934.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/GSTS spike protein (S) gene, partial cds
PP901936.1	PP901936.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/JSYC spike protein (S) gene, partial cds
PP901937.1	PP901937.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/JXNC/01 spike protein (S) gene, partial cds
PP901938.1	PP901938.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/JXNC/02 spike protein (S) gene, partial cds
PP901939.1	PP901939.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/LNDL/01 spike protein (S) gene, partial cds
PP901940.1	PP901940.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/LNLD/02 spike protein (S) gene, partial cds
PP901941.1	PP901941.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/NMGTL spike protein (S) gene, partial cds
PP901942.1	PP901942.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/NMTL spike protein (S) gene, partial cds
PP901943.1	PP901943.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/SXYC spike protein (S) gene, partial cds
PP901944.1	PP901944.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJCJ spike protein (S) gene, partial cds
PP901945.1	PP901945.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJFS spike protein (S) gene, partial cds
PP901946.1	PP901946.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJHTB spike protein (S) gene, partial cds
PP901947.1	PP901947.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJJM spike protein (S) gene, partial cds
PP901948.1	PP901948.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJTK spike protein (S) gene, partial cds
